idPot,idAccession,LifeCycleDuration,Final_rosetteDM,FruitNumber,LogisticCoeff_A,LogisticCoeff_B,LogisticCoeff_tinf,Minf,GRinf,RGRinf
709,9920,53,332.17,253,332.17,4.273663837,27.84107173,5.031552359,19.43121948,116.9956316
71,9391,59,755.73,280,755.73,4.01051446,30.69422426,4.314435168,47.1092928,124.6722846
711,9983,47,235.98,149,235.98,3.014913261,23.81541741,2.389797139,19.56772712,165.8422504
712,9600,50,238.8,164,238.8,3.637822325,23.52125523,5.667525707,16.41091693,137.4448654
713,10016,74,1352.48,52,1352.48,3.313113742,29.51468753,3.731451667,102.0550534,150.9154345
714,9749,61,840.22,164,840.22,4.892528347,31.65619833,9.928359261,42.93383403,102.1966486
715,8249,76,826.94,73,826.94,5.782299939,39.3815477,5.105143861,35.75307441,86.47078243
716,9979,54,281.23,196,281.23,4.662831029,27.47879392,6.471169735,15.07828604,107.2309927
717,9759,42,84.49,234,84.49,3.397344082,19.98902085,4.241367066,6.217356703,147.1737887
718,7106,64,614.19,138,614.19,4.592872742,32.90773962,4.161329624,33.4316905,108.864327
719,9518,73,1202.23,70,1202.23,3.987272891,32.57679891,4.16305434,75.37921488,125.3989917
72,6951,65,395.63,276,395.63,5.283466197,35.54531772,3.119302658,18.72019169,94.63484413
720,9932,43,179.72,305,179.72,3.640516661,21.99190303,6.42988004,12.34165482,137.3431429
722,6071,87,1074.77,72,1074.77,4.622498729,35.29122986,4.501146566,58.12711171,108.1666063
724,9774,53,570.82,166,570.82,3.971569415,27.60389759,6.704507849,35.93163938,125.8948158
725,88,54,261.43,205,261.43,5.131266467,26.84020214,9.463259086,12.73710894,97.44183102
726,6216,107,1532.71,38,1532.71,5.109709663,40.14103675,4.192414662,74.99007288,97.85291787
727,NA,48,291.9,NA,291.9,NA,NA,NA,17.95218813,123.0023168
728,10000,44,253.14,185,253.14,2.12731799,17.39820754,7.582296286,29.748726,235.037734
729,7202,43,138.38,183,138.38,3.971062552,22.21395792,6.10520122,8.711774127,125.9108849
73,6938,46,380.43,169,380.43,3.851517927,26.09707818,5.735639142,24.69351092,129.8189466
730,9730,67,714.31,65,714.31,4.529760032,33.55163273,3.921603053,39.42317004,110.3811232
731,772,39,119.85,69,119.85,3.466574366,21.58191325,4.097704958,8.643258976,144.2346095
733,9104,51,394.46,146,394.46,3.554603764,25.59994958,4.838071672,27.74289529,140.6626542
734,9746,90,2529.44,56,2529.44,3.944495922,33.96477741,5.800587862,160.3145275,126.7589091
735,7025,49,256.58,193,256.58,3.853781146,25.9375839,4.039023463,16.64469194,129.7427075
736,8312,54,480.78,210,480.78,4.349084659,28.71204239,6.420152776,27.63684992,114.9667204
737,9592,95,1730.04,NA,1730.04,NA,NA,NA,69.37879295,80.2048426
738,9811,54,612.18,146,612.18,3.68230147,25.99340857,7.852234041,41.56232216,135.7846456
739,9587,101,1525.55,97,1525.55,2.477063154,23.59430146,6.283397188,153.9676125,201.8519387
74,9932,48,240.18,566,240.18,3.504265338,27.82558159,1.47462818,17.13483261,142.6832593
740,7268,48,224.09,122,224.09,3.651836607,23.79956301,5.006084417,15.3409109,136.9174073
741,9796,57,447.17,223,447.17,3.729851682,27.06217951,4.563944851,29.97237143,134.0535878
742,6074,88,1476.5,58,1476.5,3.487890016,30.83393636,3.749664414,105.8304586,143.3531441
743,9442,103,1488.39,35,1488.39,6.402242823,47.15854097,4.47475338,58.11986679,78.09763138
744,7323,45,208.44,169,208.44,2.650040715,21.2794379,2.913194367,19.66384882,188.6763464
745,9629,41,144.71,229,144.71,3.942601302,21.64758027,7.168098841,9.176048306,126.8198232
746,7058,79,1276.11,80,1276.11,4.380897837,33.9697917,5.343824884,72.82240122,114.1318557
747,7427,85,962.03,44,962.03,6.028439852,41.0427301,5.550449942,39.89547974,82.94019884
748,7231,56,259.59,292,259.59,4.188433117,26.58816351,4.853784017,15.49445776,119.376384
749,6975,53,308.76,306,308.76,4.179129939,26.66007308,5.6275636,18.47035176,119.6421282
75,9944,46,112.5,73,112.5,4.473961145,23.3901832,5.37153758,6.28637556,111.7577877
750,7418,53,380.44,327,380.44,4.134014063,26.44001714,7.000540393,23.00669483,120.9478227
751,6964,96,1617.86,66,1617.86,5.388911806,43.20838313,3.40212532,75.05504164,92.78311058
752,6987,43,101.21,227,101.21,5.043298343,23.14977252,6.949610126,5.017053975,99.14146774
753,9960,47,182.87,155,182.87,4.949809082,26.30318135,6.544548538,9.23621482,101.013997
754,5867,124,2155.41,38,2155.41,4.653471048,36.44962904,7.304510798,115.7958209,107.4466769
755,7031,52,343.59,249,343.59,4.72640879,28.66852214,6.491813588,18.1739464,105.7885643
756,6073,78,1136.43,161,1136.43,5.030100766,37.87792283,4.434954373,56.48147287,99.40158721
757,7384,61,856.74,158,856.74,4.108086075,31.57570862,4.463357564,52.13741779,121.7111791
758,6088,120,2747.16,NA,2747.16,NA,NA,NA,131.4974464,95.73337296
759,139,53,280.79,196,280.79,3.603549189,23.20789048,7.008238221,19.4801004,138.7520952
76,7282,49,230.44,141,230.44,3.576303532,23.2846056,5.481061235,16.10881165,139.8091621
760,7319,50,370.39,260,370.39,3.469044745,28.23720577,1.919824252,26.69250667,144.131897
762,7411,52,313.32,230,313.32,3.770317353,25.78363569,4.691950852,20.77543948,132.6148314
763,6915,55,528.34,136,528.34,3.706003631,25.7309194,7.469213049,35.64081775,134.9162197
764,9782,44,105.75,NA,105.75,NA,NA,NA,5.651814194,106.890103
765,7308,56,151.52,166,151.52,4.508378894,27.45146846,3.093167184,8.402133204,110.9046093
767,7182,48,171.97,276,171.97,4.583893927,26.46489023,4.610085101,9.379034656,109.0775677
768,7167,44,116.54,126,116.54,4.00795671,24.98493339,2.70725182,7.269290092,124.7518464
769,5253,42,172.83,165,172.83,3.82769032,22.84836112,5.820369528,11.2881389,130.6270775
77,9943,47,90.46,132,90.46,2.63515404,24.33172732,0.391372357,8.582040995,189.7422285
770,9653,37,79.29,126,79.29,4.19723758,21.08557541,5.275636408,4.722749099,119.1259705
771,9549,65,766.81,99,766.81,3.708399697,28.03088032,5.88473843,51.69413107,134.8290478
772,9803,60,542.42,138,542.42,4.769017444,31.30017016,6.161083218,28.43457832,104.8433993
773,6145,108,2354.41,43,2354.41,5.195958708,41.24677775,5.742725681,113.2808271,96.22863231
774,7378,58,588.62,225,588.62,4.362816971,28.94715642,7.553365811,33.72935445,114.6048535
775,6177,62,926.91,34,926.91,4.030463593,31.35119246,4.615459273,57.49400649,124.0552082
776,5874,57,609.94,153,609.94,3.983250444,26.61026262,9.281282465,38.28154974,125.5256246
777,8240,66,882.47,49,882.47,4.931587336,35.2872655,5.202814805,44.73559626,101.3872342
778,10014,60,1073.9,56,1073.9,3.523379548,29.62473719,4.077102593,76.19814907,141.9092077
